url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,80,55
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,27,16
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,11,6
/Luois45/claim-free-steam-packages/issues,5,4
/Luois45/claim-free-steam-packages/tree/main/docs,5,1
/Luois45/claim-free-steam-packages/tree/main/.github/workflows,5,1
/Luois45/claim-free-steam-packages/tree/main/.github,4,1
/Luois45/claim-free-steam-packages/commits,3,1
/Luois45/claim-free-steam-packages/actions/workflows/update_package_list.yml,2,1
/Luois45/claim-free-steam-packages/blob/main/activate_packages.py,2,1
