url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,52,37
/Luois45/claim-free-steam-packages/blob/main/activate_packages.py,2,2
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,2,2
/Luois45/claim-free-steam-packages/actions/workflows/update_package_list.yml,1,1
/Luois45/claim-free-steam-packages/blob/main/.github/ISSUE_TEMPLATE/bug_report.md,1,1
/Luois45/claim-free-steam-packages/blob/main/requirements.txt,1,1
/Luois45/claim-free-steam-packages/commits,1,1
/Luois45/claim-free-steam-packages/edit/main/.github/dependabot.yml,1,1
/Luois45/claim-free-steam-packages/issues,1,1
/Luois45/claim-free-steam-packages/issues/130,1,1
