time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-10 00:00:00+00:00,14,14,,
2022-08-11 00:00:00+00:00,37,23,2.0,2.0
2022-08-12 00:00:00+00:00,40,28,63.0,5.0
2022-08-13 00:00:00+00:00,31,24,2.0,1.0
2022-08-14 00:00:00+00:00,41,24,1.0,1.0
2022-08-15 00:00:00+00:00,32,22,15.0,3.0
2022-08-16 00:00:00+00:00,29,22,3.0,2.0
2022-08-17 00:00:00+00:00,22,22,3.0,2.0
2022-08-18 00:00:00+00:00,29,22,8.0,2.0
2022-08-19 00:00:00+00:00,25,23,11.0,2.0
2022-08-20 00:00:00+00:00,30,23,5.0,3.0
2022-08-21 00:00:00+00:00,32,23,8.0,4.0
2022-08-22 00:00:00+00:00,27,22,1.0,1.0
2022-08-23 00:00:00+00:00,24,22,12.0,3.0
2022-08-24 00:00:00+00:00,12,7,3.0,1.0
