url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,104,67
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,21,15
/Luois45/claim-free-steam-packages/issues,12,6
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,10,7
/Luois45/claim-free-steam-packages/blob/main/get_package_list.py,8,3
/Luois45/claim-free-steam-packages/blob/main/activate_packages.py,7,2
/Luois45/claim-free-steam-packages/blob/main/docker-compose.yml,6,2
/Luois45/claim-free-steam-packages/tree/main/.github,6,2
/Luois45/claim-free-steam-packages/blob/main/build.bat,5,2
/Luois45/claim-free-steam-packages/blob/main/package_list.txt,4,2
