time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-29 00:00:00+00:00,16,12,2,1
2022-09-30 00:00:00+00:00,26,20,5,2
2022-10-01 00:00:00+00:00,35,21,5,3
2022-10-02 00:00:00+00:00,31,22,4,4
2022-10-03 00:00:00+00:00,29,22,16,5
2022-10-04 00:00:00+00:00,24,22,15,4
2022-10-05 00:00:00+00:00,28,21,23,5
2022-10-06 00:00:00+00:00,30,21,31,7
2022-10-07 00:00:00+00:00,25,22,1,1
2022-10-08 00:00:00+00:00,34,23,41,4
2022-10-09 00:00:00+00:00,33,23,3,1
2022-10-10 00:00:00+00:00,29,24,9,5
2022-10-11 00:00:00+00:00,23,20,11,4
2022-10-12 00:00:00+00:00,25,21,7,5
2022-10-13 00:00:00+00:00,15,13,2,1
