url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,71,52
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,15,9
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,12,5
/Luois45/claim-free-steam-packages/issues,7,5
/Luois45/claim-free-steam-packages/issues/166,3,3
/Luois45/claim-free-steam-packages/pulls,2,2
/Luois45/claim-free-steam-packages/search,2,1
/Luois45/claim-free-steam-packages/actions/runs/1802434485/jobs/2507498551,1,1
/Luois45/claim-free-steam-packages/actions/runs/1802434485/jobs/2507498579,1,1
/Luois45/claim-free-steam-packages/actions/workflows/build.yml,1,1
