time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-06 00:00:00+00:00,25,24,1,1
2023-04-07 00:00:00+00:00,27,27,7,2
2023-04-08 00:00:00+00:00,25,25,10,8
2023-04-09 00:00:00+00:00,25,25,35,9
2023-04-10 00:00:00+00:00,25,25,3,2
2023-04-11 00:00:00+00:00,26,25,13,4
2023-04-12 00:00:00+00:00,26,25,5,4
2023-04-13 00:00:00+00:00,24,24,17,6
2023-04-14 00:00:00+00:00,24,24,1,1
2023-04-15 00:00:00+00:00,25,25,6,5
2023-04-16 00:00:00+00:00,26,26,13,7
2023-04-17 00:00:00+00:00,31,29,3,2
2023-04-18 00:00:00+00:00,26,25,8,7
2023-04-19 00:00:00+00:00,36,25,12,5
