url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,80,59
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,23,18
/Luois45/claim-free-steam-packages/issues,7,5
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,6,5
/Luois45/claim-free-steam-packages/issues/172,5,3
/Luois45/claim-free-steam-packages/blob/main/activate_packages.py,4,3
/Luois45/claim-free-steam-packages/issues/166,3,3
/Luois45/claim-free-steam-packages/blob/43e996a928cc2542a9565049276af78d3e92fc5d/activate_packages.py,2,1
/Luois45/claim-free-steam-packages/blob/43e996a928cc2542a9565049276af78d3e92fc5d/get_package_list.py,1,1
/Luois45/claim-free-steam-packages/blob/main/activate_packages.spec,1,1
