time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-11 00:00:00+00:00,65,24,1,1
2023-05-12 00:00:00+00:00,69,27,24,9
2023-05-13 00:00:00+00:00,72,25,4,3
2023-05-14 00:00:00+00:00,72,26,12,6
2023-05-15 00:00:00+00:00,62,27,14,5
2023-05-16 00:00:00+00:00,64,25,15,7
2023-05-17 00:00:00+00:00,65,26,8,2
2023-05-18 00:00:00+00:00,64,26,13,7
2023-05-19 00:00:00+00:00,62,24,94,9
2023-05-20 00:00:00+00:00,74,26,24,8
2023-05-21 00:00:00+00:00,78,29,7,4
2023-05-22 00:00:00+00:00,62,27,9,5
2023-05-23 00:00:00+00:00,61,26,15,6
2023-05-24 00:00:00+00:00,65,25,1,1
