url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,50,40
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,5,3
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,5,3
/Luois45/claim-free-steam-packages/commits,2,2
/Luois45/claim-free-steam-packages/issues,2,2
/D:/package_list.htm,1,1
/Luois45/claim-free-steam-packages/actions/workflows/update_package_list.yml,1,1
/Luois45/claim-free-steam-packages/blob/main/.github/ISSUE_TEMPLATE/bug_report.md,1,1
/Luois45/claim-free-steam-packages/blob/main/package_list.txt,1,1
/Luois45/claim-free-steam-packages/blob/main/requirements.txt,1,1
