time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-09 00:00:00+00:00,28,27,15,8
2023-07-10 00:00:00+00:00,29,28,66,8
2023-07-11 00:00:00+00:00,26,26,43,10
2023-07-12 00:00:00+00:00,28,28,16,5
2023-07-13 00:00:00+00:00,26,26,16,7
2023-07-14 00:00:00+00:00,31,30,17,12
2023-07-15 00:00:00+00:00,25,25,5,4
2023-07-16 00:00:00+00:00,26,26,8,3
2023-07-17 00:00:00+00:00,27,26,9,3
2023-07-18 00:00:00+00:00,24,24,12,5
2023-07-19 00:00:00+00:00,24,23,16,7
2023-07-20 00:00:00+00:00,24,24,6,2
2023-07-21 00:00:00+00:00,25,25,10,3
2023-07-22 00:00:00+00:00,24,24,6,3
