time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-27 00:00:00+00:00,14,14,4.0,3.0
2023-02-28 00:00:00+00:00,25,24,10.0,5.0
2023-03-01 00:00:00+00:00,27,27,15.0,5.0
2023-03-02 00:00:00+00:00,31,29,9.0,5.0
2023-03-03 00:00:00+00:00,22,22,11.0,4.0
2023-03-04 00:00:00+00:00,24,24,7.0,6.0
2023-03-05 00:00:00+00:00,25,25,12.0,3.0
2023-03-06 00:00:00+00:00,29,27,17.0,8.0
2023-03-07 00:00:00+00:00,25,25,9.0,6.0
2023-03-08 00:00:00+00:00,30,27,24.0,6.0
2023-03-09 00:00:00+00:00,25,25,21.0,3.0
2023-03-10 00:00:00+00:00,24,24,3.0,3.0
2023-03-11 00:00:00+00:00,24,24,4.0,3.0
2023-03-12 00:00:00+00:00,26,26,14.0,5.0
2023-03-13 00:00:00+00:00,8,8,,
