url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,46,27
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,13,8
/Luois45/claim-free-steam-packages/issues/38,7,1
/Luois45/claim-free-steam-packages/issues,6,4
/Luois45/claim-free-steam-packages/releases,4,3
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,3,2
/Luois45/claim-free-steam-packages/tags,3,2
/Luois45/claim-free-steam-packages/blob/main/docker-compose.yml,2,2
/Luois45/claim-free-steam-packages/blob/main/Dockerfile,2,2
/Luois45/claim-free-steam-packages/blob/main/README.md,2,1
