url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,63,49
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,16,7
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,15,10
/Luois45/claim-free-steam-packages/issues/177,7,2
/Luois45/claim-free-steam-packages/issues,3,2
/Luois45/claim-free-steam-packages/releases,3,2
/Luois45/claim-free-steam-packages/blob/main/package_list.txt,2,1
/Luois45/claim-free-steam-packages/commits/auto-update,2,1
/Luois45/claim-free-steam-packages/pull/178,2,1
/JustArchiNET/ArchiSteamFarm/releases/tag/5.4.3.2,1,1
