url_path,views_total,views_unique
/Luois45/claim-free-steam-packages,66,51
/Luois45/claim-free-steam-packages/releases/tag/v1.4.3,15,10
/Luois45/claim-free-steam-packages/blob/main/docs/instructions-for-users-with-many-packages.md,14,6
/Luois45/claim-free-steam-packages/issues,4,3
/Luois45/claim-free-steam-packages/issues/177,4,2
/Luois45/claim-free-steam-packages/pulls,2,2
/Luois45/claim-free-steam-packages/blob/main/package_list.txt,2,1
/Luois45/claim-free-steam-packages/pull/176,2,1
/Luois45/claim-free-steam-packages/pull/178,2,1
/Luois45/claim-free-steam-packages/search,2,1
