time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-14 00:00:00+00:00,25.0,19.0,10,5
2023-10-15 00:00:00+00:00,39.0,29.0,2,2
2023-10-16 00:00:00+00:00,41.0,33.0,10,2
2023-10-17 00:00:00+00:00,24.0,24.0,8,4
2023-10-18 00:00:00+00:00,43.0,26.0,6,4
2023-10-19 00:00:00+00:00,40.0,25.0,36,10
2023-10-20 00:00:00+00:00,50.0,26.0,6,4
2023-10-21 00:00:00+00:00,45.0,27.0,10,6
2023-10-22 00:00:00+00:00,56.0,32.0,13,6
2023-10-23 00:00:00+00:00,48.0,31.0,2,2
2023-10-24 00:00:00+00:00,48.0,26.0,9,3
2023-10-25 00:00:00+00:00,41.0,26.0,6,4
2023-10-26 00:00:00+00:00,43.0,27.0,6,5
2023-10-27 00:00:00+00:00,61.0,27.0,21,8
2023-10-28 00:00:00+00:00,,,2,2
