time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-24 00:00:00+00:00,10,10,3,2
2023-07-25 00:00:00+00:00,30,27,8,6
2023-07-26 00:00:00+00:00,24,24,12,7
2023-07-27 00:00:00+00:00,24,24,43,13
2023-07-28 00:00:00+00:00,31,27,12,5
2023-07-29 00:00:00+00:00,24,24,12,4
2023-07-30 00:00:00+00:00,30,27,21,4
2023-07-31 00:00:00+00:00,30,28,38,7
2023-08-01 00:00:00+00:00,25,25,45,8
2023-08-02 00:00:00+00:00,25,25,13,4
2023-08-03 00:00:00+00:00,26,26,8,4
2023-08-04 00:00:00+00:00,25,25,17,5
2023-08-05 00:00:00+00:00,29,29,16,10
2023-08-06 00:00:00+00:00,30,29,8,4
2023-08-07 00:00:00+00:00,14,14,2,2
